"","Categoria","Comunidad","Educacion","FechaCreacion","TipoJornada","Provincia","SalarioMax","SalarioMin","SubCategoria"
"4273","SALUD/DEPORTE","ANDALUCÍA","Estudios primarios",2018-10-28,"PARCIAL","MÁLAGA",280,280,"FISIOTERAPIA/DEPORTE/MANTENIMIENTO FISIC"
"4277","APRENDICES/PRIMER EMPLEO","COMUNIDAD VALENCIANA","Estudios primarios",2018-10-26,"PARCIAL","VALENCIA",650,550,"APRENDICES"
"4279","CONSTRUCCIÓN","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-10-26,"COMPLETA","VALENCIA",1158,994,"PINTURA"
"4288","EDUCACIÓN/SERVICIOS SOCIALES","LA RIOJA","Licenciado o Ingeniero Superior",2018-10-26,"PARCIAL","RIOJA (LA)",500,400,"ENSEÑANZA DE IDIOMAS"
"4295","HOSTELERÍA/TURISMO","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-10-26,"COMPLETA","ALICANTE",1500,1000,"COCINEROS"
"4296","METAL/MECÁNICA","MADRID","Certificados de Profesionalidad",2018-10-26,"COMPLETA","MADRID",1390,1390,"MECÁNICA/MANTENIMIENTO"
"4299","SALUD/DEPORTE","ANDALUCÍA","FP I, Ciclo de Grado Medio",2018-10-26,"COMPLETA","MÁLAGA",1200,900,"SALUD DENTAL"
"4333","DERECHO/PSICOLOGÍA/CIENCIAS SOCIALES","ILLES BALEARS","Licenciado o Ingeniero Superior",2018-10-26,"PARCIAL","BALEARS (ILLES)",445,380,"PSICÓLOGOS"
"4335","HOSTELERÍA/TURISMO","EXTREMADURA","ESO, EGB, Graduado Escolar",2018-10-26,"PARCIAL","BADAJOZ",311,311,"CAMAREROS"
"4343","INFORMÁTICA/TELECOMUNICACIONES","MADRID","FP I, Ciclo de Grado Medio",2018-10-26,"COMPLETA","MADRID",22000,16000,"SISTEMAS/SEGURIDAD/REDES"
"4344","INFORMÁTICA/TELECOMUNICACIONES","MADRID","FP I, Ciclo de Grado Medio",2018-10-26,"INDIFERENTE","MADRID",900,500,"SISTEMAS/SEGURIDAD/REDES"
"4350","INFORMÁTICA/TELECOMUNICACIONES","MADRID","FP II, Ciclo de Grado Superior",2018-10-26,"COMPLETA","MADRID",26000,20000,"GESTIÓN DE PROYECTOS"
"4392","PELUQUERÍA/ESTÉTICA","CASTILLA LA MANCHA","ESO, EGB, Graduado Escolar",2018-10-15,"INDIFERENTE","CIUDAD REAL",1400,800,"PELUQUERÍA"
"4411","CONDUCTORES/TRANSPORTE","ILLES BALEARS","ESO, EGB, Graduado Escolar",2018-10-26,"COMPLETA","BALEARS (ILLES)",2000,1800,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"4412","CONDUCTORES/TRANSPORTE","ILLES BALEARS","ESO, EGB, Graduado Escolar",2018-10-26,"PARCIAL","BALEARS (ILLES)",1200,900,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"4541","DEPENDIENTES/INFORMACIÓN","COMUNIDAD VALENCIANA","Bachillerato",2018-10-26,"PARCIAL","VALENCIA",9000,8500,"DEPENDIENTES"
"4548","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-10-26,"PARCIAL","MADRID",700,500,"CONTABILIDAD/FINANZAS"
"4593","INGENIERÍA/CALIDAD/CIENCIAS","COMUNIDAD VALENCIANA","Licenciado o Ingeniero Superior",2018-10-26,"COMPLETA","VALENCIA",24000,18000,"CALIDAD"
"4644","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","ISLAS CANARIAS","Unknown",2018-10-28,"PARCIAL","SANTA CRUZ DE TENERIFE",2540,2540,"ARTE/CULTURA/ESPECTÁCULOS"
"4720","CUIDADOS/ASISTENCIA EN EL HOGAR","MADRID","Estudios primarios",2018-10-26,"PARCIAL","MADRID",600,600,"LIMPIEZA"
"4769","COMERCIAL/VENTAS","GALICIA","ESO, EGB, Graduado Escolar",2018-10-26,"INDIFERENTE","CORUÑA (A)",12000,9000,"VENDEDORES"
"4770","HOSTELERÍA/TURISMO","GALICIA","Unknown",2018-10-26,"PARCIAL","CORUÑA (A)",1500,316,"COCINEROS"
"4771","INFORMÁTICA/TELECOMUNICACIONES","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-10-26,"COMPLETA","CÓRDOBA",18000,12000,"TELECOMUNICACIONES"
"4795","HOSTELERÍA/TURISMO","MADRID","Unknown",2018-10-26,"COMPLETA","MADRID",1300,1200,"CAMAREROS"
"4809","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","CATALUÑA","FP I, Ciclo de Grado Medio",2018-07-26,"COMPLETA","BARCELONA",1635,1535,"ELECTRICIDAD"
"4930","ADMINISTRACIÓN","MADRID","FP I, Ciclo de Grado Medio",2018-10-26,"PARCIAL","MADRID",850,700,"ADMINISTRATIVOS"
"4940","ADMINISTRACIÓN","MADRID","FP I, Ciclo de Grado Medio",2018-10-26,"COMPLETA","MADRID",18000,12000,"ADMINISTRATIVOS"
"4941","FÁBRICAS/INDUSTRIA","MADRID","FP I, Ciclo de Grado Medio",2018-10-26,"COMPLETA","MADRID",18000,14000,"ENCARGADOS Y SUPERVISORES DE PRODUCCIÓN"
"4942","ADMINISTRACIÓN","CATALUÑA","FP II, Ciclo de Grado Superior",2018-09-26,"COMPLETA","BARCELONA",17500,15000,"CONTABILIDAD/FINANZAS"
"4943","EDUCACIÓN/SERVICIOS SOCIALES","CATALUÑA","Bachillerato",2018-10-25,"PARCIAL","BARCELONA",10740,10740,"OTRAS ACTIVIDADES"
"4951","ADMINISTRACIÓN","CATALUÑA","Sin estudios",2018-10-25,"COMPLETA","BARCELONA",22000,20000,"CONTABILIDAD/FINANZAS"
"4952","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","MADRID","FP I, Ciclo de Grado Medio",2018-10-25,"COMPLETA","MADRID",19000,18000,"ELECTRICIDAD"
"4953","VIGILANCIA/SERVICIOS","MADRID","Bachillerato",2018-10-25,"COMPLETA","MADRID",17177,17177,"VIGILANCIA/GUARDAS JURADOS"
"4954","CONDUCTORES/TRANSPORTE","COMUNIDAD VALENCIANA","Sin estudios",2018-10-25,"COMPLETA","VALENCIA",1500,1400,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"4955","COMERCIAL/VENTAS","MADRID","Bachillerato",2018-10-25,"COMPLETA","MADRID",2000,800,"AGENTES COMERCIALES/REPRESENTANTES"
"4959","CONDUCTORES/TRANSPORTE","GALICIA","Unknown",2018-10-25,"COMPLETA","CORUÑA (A)",20000,17500,"REPARTO DE MERCANCÍAS"
"4960","CONSTRUCCIÓN","ILLES BALEARS","Unknown",2018-10-25,"COMPLETA","BALEARS (ILLES)",1100,1000,"PINTURA"
"4965","ADMINISTRACIÓN","LA RIOJA","FP II, Ciclo de Grado Superior",2018-10-25,"COMPLETA","RIOJA (LA)",21000,18000,"RECURSOS HUMANOS/PERSONAL"
"4970","CONSTRUCCIÓN","MADRID","Unknown",2018-10-25,"COMPLETA","MADRID",1200,1200,"FONTANERÍA"
"4972","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ANDALUCÍA","FP I, Ciclo de Grado Medio",2018-10-25,"COMPLETA","SEVILLA",1400,1200,"ENERGÍAS RENOVABLES"
"4984","VIGILANCIA/SERVICIOS","ILLES BALEARS","Bachillerato",2018-03-12,"COMPLETA","BALEARS (ILLES)",1050,850,"AUXILIARES DE SERVICIO/PERSONAL SUBALTER"
"5040","METAL/MECÁNICA","CATALUÑA","Unknown",2018-10-26,"COMPLETA","BARCELONA",30000,24000,"MAQUINA HERRAMIENTA/TORNO/FRESA"
"5088","INGENIERÍA/CALIDAD/CIENCIAS","CATALUÑA","Licenciado o Ingeniero Superior",2018-10-26,"COMPLETA","BARCELONA",2285,2285,"INGENIERÍAS"
"5094","HOSTELERÍA/TURISMO","ANDALUCÍA","Unknown",2018-10-26,"PARCIAL","CÓRDOBA",626,625,"ANIMACIÓN TURÍSTICA"
"5310","COMERCIAL/VENTAS","GALICIA","Bachillerato",2018-10-13,"PARCIAL","CORUÑA (A)",500,400,"VENDEDORES"
"5311","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-10-23,"INDIFERENTE","MADRID",16000,16000,"CONTABILIDAD/FINANZAS"
"5313","FÁBRICAS/INDUSTRIA","CATALUÑA","Otras Formaciones",2018-10-24,"COMPLETA","BARCELONA",22000,18000,"TEXTIL/CONFECCIÓN/CALZADO"
"5321","VIGILANCIA/SERVICIOS","CASTILLA LA MANCHA","Otras Formaciones",2018-10-25,"PARCIAL","TOLEDO",500,400,"SEGURIDAD"
"5322","EDUCACIÓN/SERVICIOS SOCIALES","ISLAS CANARIAS","Licenciado o Ingeniero Superior",2018-10-25,"COMPLETA","PALMAS (LAS)",1500,1400,"ASISTENCIA E INTEGRACIÓN SOCIAL"
"5332","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","MADRID","Unknown",2018-10-25,"COMPLETA","MADRID",1455,1355,"ELECTRICIDAD"
"5348","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","COMUNIDAD VALENCIANA","Sin estudios",2018-10-25,"COMPLETA","VALENCIA",1500,1300,"FRÍO Y CLIMATIZACIÓN"
"5349","ADMINISTRACIÓN","MADRID","Unknown",2018-01-17,"COMPLETA","MADRID",18500,18500,"ADMINISTRATIVOS"
"5350","INFORMÁTICA/TELECOMUNICACIONES","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-10-25,"COMPLETA","SEVILLA",1500,1200,"ANALISTAS/PROGRAMADORES"
"5356","INGENIERÍA/CALIDAD/CIENCIAS","CATALUÑA","Diplomado o Ingeniero Técnico",2018-10-25,"COMPLETA","BARCELONA",34000,33000,"INGENIERÍAS"
"5357","ADMINISTRACIÓN","REGIÓN DE MURCIA","FP II, Ciclo de Grado Superior",2018-10-25,"PARCIAL","MURCIA",600,400,"ADMINISTRATIVOS"
"5370","CONDUCTORES/TRANSPORTE","ILLES BALEARS","ESO, EGB, Graduado Escolar",2018-10-23,"COMPLETA","BALEARS (ILLES)",1094,1094,"REPARTO DE MERCANCÍAS"
"5395","VIGILANCIA/SERVICIOS","CASTILLA LA MANCHA","Otras Formaciones",2018-10-25,"PARCIAL","TOLEDO",500,400,"SEGURIDAD"
"5415","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ANDALUCÍA","FP I, Ciclo de Grado Medio",2018-10-25,"COMPLETA","SEVILLA",1400,1200,"ENERGÍAS RENOVABLES"
"5460","COMERCIAL/VENTAS","GALICIA","Bachillerato",2018-10-24,"PARCIAL","CORUÑA (A)",500,400,"VENDEDORES"
"5461","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","MADRID","FP II, Ciclo de Grado Superior",2018-10-25,"PARCIAL","MADRID",24000,24000,"FRÍO Y CLIMATIZACIÓN"
"5479","METAL/MECÁNICA","COMUNIDAD VALENCIANA","FP II, Ciclo de Grado Superior",2018-10-25,"COMPLETA","VALENCIA",1700,1100,"CERRAJEROS/FORJA/HERREROS"
"5490","CONSTRUCCIÓN","MADRID","Diplomado o Ingeniero Técnico",2018-10-25,"COMPLETA","MADRID",24000,18000,"TECNICOS EN CONSTRUCCION"
"5508","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ANDALUCÍA","Unknown",2018-09-27,"COMPLETA","SEVILLA",1300,1200,"ELECTRICIDAD"
"5518","CONSTRUCCIÓN","CATALUÑA","Estudios primarios",2018-10-26,"COMPLETA","BARCELONA",1400,1200,"CARPINTERÍA"
"5714","CONDUCTORES/TRANSPORTE","CATALUÑA","Unknown",2018-10-26,"COMPLETA","TARRAGONA",1950,1800,"MECÁNICA DEL AUTOMÓVIL"
"5715","ADMINISTRACIÓN","MADRID","FP I, Ciclo de Grado Medio",2018-10-25,"COMPLETA","MADRID",23000,22000,"ADMINISTRATIVOS"
"5722","COMERCIAL/VENTAS","CASTILLA LA MANCHA","ESO, EGB, Graduado Escolar",2018-10-25,"INDIFERENTE","TOLEDO",500,400,"AGENTES COMERCIALES/REPRESENTANTES"
"5723","DEPENDIENTES/INFORMACIÓN","CASTILLA Y LEÓN","Estudios primarios",2018-10-25,"PARCIAL","SEGOVIA",500,400,"DEPENDIENTES"
"5724","METAL/MECÁNICA","CASTILLA LA MANCHA","Otras Formaciones",2018-10-25,"COMPLETA","TOLEDO",18000,12000,"MECÁNICA/MANTENIMIENTO"
"5725","COMERCIAL/VENTAS","MADRID","Bachillerato",2018-10-25,"PARCIAL","MADRID",18000,14500,"AGENTES COMERCIALES/REPRESENTANTES"
"5726","CONSTRUCCIÓN","Unknown","Unknown",2018-07-12,"COMPLETA","Unknown",19061,19061,"PEONES"
"5839","INGENIERÍA/CALIDAD/CIENCIAS","ANDALUCÍA","Licenciado o Ingeniero Superior",2018-10-25,"COMPLETA","CÁDIZ",1100,900,"MEDIO AMBIENTE/QUÍMICA/BIOLOGÍA/LABORATO"
"5915","HOSTELERÍA/TURISMO","ANDALUCÍA","Certificados de Profesionalidad",2018-10-25,"COMPLETA","SEVILLA",1200,1000,"CAMAREROS"
"5946","ADMINISTRACIÓN","ANDALUCÍA","Licenciado o Ingeniero Superior",2018-05-03,"COMPLETA","GRANADA",1200,1100,"ADMINISTRATIVOS"
"5947","CONSTRUCCIÓN","CATALUÑA","Estudios primarios",2018-05-09,"COMPLETA","BARCELONA",24000,23000,"TECNICOS EN CONSTRUCCION"
"5948","CONSTRUCCIÓN","CATALUÑA","Estudios primarios",2018-10-24,"INDIFERENTE","LLEIDA",1200,1000,"PINTURA"
"5961","COMERCIAL/VENTAS","CATALUÑA","Bachillerato",2018-10-24,"COMPLETA","BARCELONA",2000,1200,"VENDEDORES"
"5962","HOSTELERÍA/TURISMO","CASTILLA LA MANCHA","Unknown",2018-10-24,"COMPLETA","ALBACETE",1100,900,"CAMAREROS"
"5999","ALMACENES/REPONEDORES","GALICIA","Unknown",2018-10-24,"PARCIAL","PONTEVEDRA",900,600,"MOZOS DE ALMACÉN/CARRETILLEROS"
"6000","CONSTRUCCIÓN","COMUNIDAD VALENCIANA","Certificados de Profesionalidad",2018-04-06,"COMPLETA","VALENCIA",1500,1000,"ENCOFRADO/FERRALLA/ESTRUCTURAS"
"6018","HOSTELERÍA/TURISMO","ISLAS CANARIAS","Bachillerato",2018-10-26,"PARCIAL","SANTA CRUZ DE TENERIFE",550,550,"RECEPCIONISTAS DE HOTEL"
"6182","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","COMUNIDAD VALENCIANA","Unknown",2018-10-24,"COMPLETA","ALICANTE",900,900,"AGRICULTURA/GANADERÍA"
"6186","INFORMÁTICA/TELECOMUNICACIONES","GALICIA","FP II, Ciclo de Grado Superior",2018-10-24,"COMPLETA","OURENSE",1500,900,"ANALISTAS/PROGRAMADORES"
"6187","ADMINISTRACIÓN","EXTREMADURA","FP II, Ciclo de Grado Superior",2018-10-18,"COMPLETA","BADAJOZ",1100,800,"ADMINISTRATIVOS"
"6191","HOSTELERÍA/TURISMO","CATALUÑA","FP I, Ciclo de Grado Medio",2018-10-24,"COMPLETA","GIRONA",16703,16703,"COCINEROS"
"6192","INFORMÁTICA/TELECOMUNICACIONES","MADRID","ESO, EGB, Graduado Escolar",2018-10-24,"COMPLETA","MADRID",1400,1100,"SISTEMAS/SEGURIDAD/REDES"
"6193","INFORMÁTICA/TELECOMUNICACIONES","GALICIA","FP II, Ciclo de Grado Superior",2018-10-24,"COMPLETA","OURENSE",1500,900,"ANALISTAS/PROGRAMADORES"
"6194","FÁBRICAS/INDUSTRIA","COMUNIDAD VALENCIANA","Unknown",2018-10-01,"COMPLETA","VALENCIA",1200,1000,"MADERA Y MUEBLE/EBANISTERÍA"
"6195","ADMINISTRACIÓN","MADRID","FP I, Ciclo de Grado Medio",2018-09-30,"COMPLETA","MADRID",1060,950,"ADMINISTRATIVOS"
"6196","CUIDADOS/ASISTENCIA EN EL HOGAR","MADRID","Sin estudios",2018-10-24,"COMPLETA","MADRID",950,900,"LIMPIEZA"
"6199","SALUD/DEPORTE","MADRID","FP I, Ciclo de Grado Medio",2018-10-24,"PARCIAL","MADRID",800,750,"ENFERMERÍA"
"6212","HOSTELERÍA/TURISMO","MADRID","Diplomado o Ingeniero Técnico",2018-10-24,"COMPLETA","MADRID",23000,20000,"AGENCIA DE VIAJES"
"6216","HOSTELERÍA/TURISMO","MADRID","ESO, EGB, Graduado Escolar",2018-10-24,"COMPLETA","MADRID",18000,18000,"CAMAREROS"
"6217","INGENIERÍA/CALIDAD/CIENCIAS","ARAGÓN","Licenciado o Ingeniero Superior",2018-10-24,"COMPLETA","HUESCA",26000,24000,"OTRAS ACTIVIDADES TÉCNICAS"
"6218","ADMINISTRACIÓN","CATALUÑA","FP I, Ciclo de Grado Medio",2018-10-24,"COMPLETA","BARCELONA",12000,11000,"ADMINISTRATIVOS"
"6226","CONDUCTORES/TRANSPORTE","NAVARRA","Otras Formaciones",2018-10-24,"COMPLETA","NAVARRA",1000,1000,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"6231","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","MADRID","FP I, Ciclo de Grado Medio",2018-10-24,"COMPLETA","MADRID",20000,12000,"ELECTRÓNICA"
"6236","METAL/MECÁNICA","CANTABRIA","Unknown",2018-10-24,"COMPLETA","CANTABRIA",1600,1500,"MECÁNICA/MANTENIMIENTO"
"6244","SALUD/DEPORTE","ISLAS CANARIAS","Licenciado o Ingeniero Superior",2018-10-24,"COMPLETA","SANTA CRUZ DE TENERIFE",1800,1500,"MEDICINA"
"6256","HOSTELERÍA/TURISMO","ISLAS CANARIAS","ESO, EGB, Graduado Escolar",2018-10-24,"PARCIAL","PALMAS (LAS)",950,700,"CAMAREROS"
"6261","CONDUCTORES/TRANSPORTE","ARAGÓN","Estudios primarios",2018-10-24,"PARCIAL","ZARAGOZA",2025,675,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"6304","CONSTRUCCIÓN","CATALUÑA","ESO, EGB, Graduado Escolar",2018-10-24,"COMPLETA","BARCELONA",21000,20000,"TECNICOS EN CONSTRUCCION"
"6309","PELUQUERÍA/ESTÉTICA","CASTILLA Y LEÓN","FP II, Ciclo de Grado Superior",2018-10-24,"PARCIAL","LEÓN",14,12,"ESTÉTICA"
"6320","INGENIERÍA/CALIDAD/CIENCIAS","CANTABRIA","Unknown",2018-10-24,"COMPLETA","CANTABRIA",50000,30000,"I+D"
"6321","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","MADRID","FP I, Ciclo de Grado Medio",2018-10-24,"PARCIAL","MADRID",1500,1100,"OTRAS ACTIVIDADES"
"6336","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","MADRID","FP II, Ciclo de Grado Superior",2018-10-24,"COMPLETA","MADRID",1200,1000,"ELECTRICIDAD"
"6350","COMERCIAL/VENTAS","REGIÓN DE MURCIA","Licenciado o Ingeniero Superior",2018-10-24,"COMPLETA","MURCIA",50000,40000,"VENDEDORES"
"6357","DIRECTIVOS","REGIÓN DE MURCIA","Diplomado o Ingeniero Técnico",2018-10-23,"COMPLETA","MURCIA",60000,45000,"AREA DIRECTIVA"
"6361","HOSTELERÍA/TURISMO","MADRID","ESO, EGB, Graduado Escolar",2018-10-24,"PARCIAL","MADRID",600,600,"CAMAREROS"
"6427","CONSTRUCCIÓN","CATALUÑA","FP II, Ciclo de Grado Superior",2018-10-24,"COMPLETA","BARCELONA",2000,1300,"TECNICOS EN CONSTRUCCION"
"6429","CONDUCTORES/TRANSPORTE","ARAGÓN","Estudios primarios",2018-10-24,"PARCIAL","HUESCA",9650,9650,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"6438","CONDUCTORES/TRANSPORTE","ANDALUCÍA","Estudios primarios",2018-10-24,"COMPLETA","SEVILLA",15000,14000,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"6442","EDUCACIÓN/SERVICIOS SOCIALES","MADRID","Diplomado o Ingeniero Técnico",2018-10-24,"PARCIAL","MADRID",10000,7500,"ENSEÑANZA PRIMARIA Y SECUNDARIA"
"6447","DERECHO/PSICOLOGÍA/CIENCIAS SOCIALES","ISLAS CANARIAS","FP II, Ciclo de Grado Superior",2018-10-24,"COMPLETA","SANTA CRUZ DE TENERIFE",9,1,"OTROS PROFESIONALES"
"6464","SALUD/DEPORTE","EXTREMADURA","Diplomado o Ingeniero Técnico",2018-10-05,"COMPLETA","BADAJOZ",1800,1500,"ENFERMERÍA"
"6475","CONDUCTORES/TRANSPORTE","ARAGÓN","Estudios primarios",2018-10-24,"COMPLETA","ZARAGOZA",15600,15600,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"6495","CONSTRUCCIÓN","CASTILLA LA MANCHA","Sin estudios",2018-10-24,"COMPLETA","CUENCA",1300,1285,"GRÚAS/EXCAVADORAS/MAQUINARIA"
"6500","HOSTELERÍA/TURISMO","MADRID","Unknown",2018-10-17,"COMPLETA","MADRID",1350,1150,"AYUDANTES DE COCINA/COMIDA RÁPIDA"
"6505","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-10-24,"COMPLETA","MADRID",22000,18000,"SECRETARIADO"
"6533","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","CASTILLA Y LEÓN","FP II, Ciclo de Grado Superior",2018-10-24,"COMPLETA","PALENCIA",20000,18000,"CONSERVAS/ALIMENTOS/BEBIDAS"
"6583","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","MADRID","Unknown",2018-10-26,"COMPLETA","MADRID",1500,1300,"CARNICERÍA/CHARCUTERIA"
"6595","CONDUCTORES/TRANSPORTE","ARAGÓN","Estudios primarios",2018-10-24,"PARCIAL","ZARAGOZA",14000,14000,"TRANSPORTE INTERNACIONAL/ESPECIAL"
"6607","ALMACENES/REPONEDORES","MADRID","Sin estudios",2018-10-24,"COMPLETA","MADRID",1000,950,"MOZOS DE ALMACÉN/CARRETILLEROS"
"6612","INFORMÁTICA/TELECOMUNICACIONES","ANDALUCÍA","Unknown",2018-10-26,"COMPLETA","CÓRDOBA",1284,1283,"SISTEMAS/SEGURIDAD/REDES"
"6625","FÁBRICAS/INDUSTRIA","MADRID","Unknown",2018-07-03,"COMPLETA","MADRID",20000,18000,"ENCARGADOS Y SUPERVISORES DE PRODUCCIÓN"
"6650","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-10-18,"COMPLETA","HUELVA",1200,1000,"PESCA"
"6717","FÁBRICAS/INDUSTRIA","COMUNIDAD VALENCIANA","Estudios primarios",2018-10-24,"COMPLETA","CASTELLÓN",1200,1100,"MADERA Y MUEBLE/EBANISTERÍA"
"6719","ADMINISTRACIÓN","MADRID","Diplomado o Ingeniero Técnico",2018-10-24,"COMPLETA","MADRID",24000,20000,"CONTABILIDAD/FINANZAS"
"6763","ALMACENES/REPONEDORES","ANDALUCÍA","Unknown",2018-07-31,"COMPLETA","JAÉN",1100,800,"COMPRAS/DISTRIBRUCIÓN"
"6764","COMERCIAL/VENTAS","ANDALUCÍA","Otras Formaciones",2018-07-31,"COMPLETA","JAÉN",1100,800,"VENDEDORES"
"6765","COMERCIAL/VENTAS","ANDALUCÍA","Unknown",2018-07-31,"COMPLETA","JAÉN",1100,800,"VENDEDORES"
"6766","COMERCIAL/VENTAS","ANDALUCÍA","Unknown",2018-07-31,"COMPLETA","JAÉN",1200,800,"VENDEDORES"
"6773","CONSTRUCCIÓN","MADRID","ESO, EGB, Graduado Escolar",2018-10-24,"COMPLETA","MADRID",1200,1000,"PEONES"
"6775","CONSTRUCCIÓN","COMUNIDAD VALENCIANA","Certificados de Profesionalidad",2018-07-11,"COMPLETA","VALENCIA",2000,1000,"ALBAÑILERIA/ACABADOS"
"6776","INFORMÁTICA/TELECOMUNICACIONES","Unknown","FP I, Ciclo de Grado Medio",2018-09-24,"COMPLETA","Unknown",22000,22000,"MICROINFORMATICA/ASISTENCIA TÉCNICA"
"6777","CONSTRUCCIÓN","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-05-30,"COMPLETA","VALENCIA",1800,900,"ALBAÑILERIA/ACABADOS"
"6823","APRENDICES/PRIMER EMPLEO","MADRID","FP I, Ciclo de Grado Medio",2018-10-23,"COMPLETA","MADRID",1300,1200,"APRENDICES"
"6825","EDUCACIÓN/SERVICIOS SOCIALES","MADRID","Licenciado o Ingeniero Superior",2018-10-23,"COMPLETA","MADRID",25000,22000,"OTRAS ACTIVIDADES"
"6872","INGENIERÍA/CALIDAD/CIENCIAS","REGIÓN DE MURCIA","Diplomado o Ingeniero Técnico",2018-10-23,"COMPLETA","MURCIA",1400,1000,"INGENIERÍAS"
"6891","ADMINISTRACIÓN","COMUNIDAD VALENCIANA","FP I, Ciclo de Grado Medio",2018-07-17,"PARCIAL","ALICANTE",700,550,"ADMINISTRATIVOS"
"6920","INGENIERÍA/CALIDAD/CIENCIAS","PAÍS VASCO","FP II, Ciclo de Grado Superior",2018-06-03,"COMPLETA","ÁLAVA",25000,23000,"OTRAS ACTIVIDADES TÉCNICAS"
"6928","VIGILANCIA/SERVICIOS","MADRID","Estudios primarios",2018-10-23,"COMPLETA","MADRID",1100,800,"ORDENANZAS/CONSERJES"
"6930","SALUD/DEPORTE","MADRID","ESO, EGB, Graduado Escolar",2018-10-23,"INDIFERENTE","MADRID",1100,565,"FISIOTERAPIA/DEPORTE/MANTENIMIENTO FISIC"
"6935","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","COMUNIDAD VALENCIANA","Unknown",2018-10-23,"COMPLETA","ALICANTE",1400,1400,"FRÍO Y CLIMATIZACIÓN"
"6943","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","CATALUÑA","Estudios primarios",2018-10-23,"COMPLETA","BARCELONA",1800,1200,"FRÍO Y CLIMATIZACIÓN"
"6953","ALMACENES/REPONEDORES","COMUNIDAD VALENCIANA","Unknown",2018-10-23,"COMPLETA","VALENCIA",901,900,"MOZOS DE ALMACÉN/CARRETILLEROS"
"6955","INFORMÁTICA/TELECOMUNICACIONES","MADRID","Licenciado o Ingeniero Superior",2018-10-23,"COMPLETA","MADRID",30000,30000,"ANALISTAS/PROGRAMADORES"
"6956","ADMINISTRACIÓN","GALICIA","FP II, Ciclo de Grado Superior",2018-10-23,"PARCIAL","PONTEVEDRA",500,500,"CONTABILIDAD/FINANZAS"
"6960","DEPENDIENTES/INFORMACIÓN","ANDALUCÍA","Bachillerato",2018-10-23,"COMPLETA","GRANADA",1700,1200,"DEPENDIENTES"
"6963","VIGILANCIA/SERVICIOS","ISLAS CANARIAS","Unknown",2018-10-23,"COMPLETA","PALMAS (LAS)",1200,1000,"ORDENANZAS/CONSERJES"
"7001","HOSTELERÍA/TURISMO","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-10-23,"COMPLETA","GRANADA",1200,900,"AGENCIA DE VIAJES"
"7031","EDUCACIÓN/SERVICIOS SOCIALES","MADRID","Licenciado o Ingeniero Superior",2018-10-23,"PARCIAL","MADRID",956,956,"EDUCACIÓN ESPECIAL/PEDAGOGÍA"
"7043","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-10-23,"PARCIAL","ALICANTE",1200,0,"FORESTAL/JARDINERÍA"
"7045","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-10-23,"COMPLETA","MADRID",15000,12000,"RECURSOS HUMANOS/PERSONAL"
"7069","INFORMÁTICA/TELECOMUNICACIONES","ARAGÓN","Unknown",2018-10-23,"INDIFERENTE","ZARAGOZA",1200,1200,"SISTEMAS/SEGURIDAD/REDES"
