"","Categoria","Comunidad","Educacion","FechaCreacion","TipoJornada","Provincia","SalarioMax","SalarioMin","SubCategoria"
"1058","INFORMÁTICA/TELECOMUNICACIONES","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-10-29,"COMPLETA","CÁDIZ",24000,18000,"ANALISTAS/PROGRAMADORES"
"1059","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","MADRID","FP II, Ciclo de Grado Superior",2018-10-19,"PARCIAL","MADRID",1000,800,"COMUNICACIÓN/PUBLICIDAD/MARKETING"
"1060","METAL/MECÁNICA","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-10-29,"COMPLETA","VALENCIA",1200,900,"CERRAJEROS/FORJA/HERREROS"
"1062","HOSTELERÍA/TURISMO","ARAGÓN","Diplomado o Ingeniero Técnico",2018-10-29,"PARCIAL","ZARAGOZA",6,5,"ANIMACIÓN TURÍSTICA"
"1063","EDUCACIÓN/SERVICIOS SOCIALES","MADRID","Licenciado o Ingeniero Superior",2018-10-29,"INDIFERENTE","MADRID",18,13,"ENSEÑANZA DE IDIOMAS"
"1064","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-10-29,"COMPLETA","MADRID",15000,15000,"CONTABILIDAD/FINANZAS"
"1065","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-10-29,"PARCIAL","MADRID",500,500,"RECURSOS HUMANOS/PERSONAL"
"1066","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-10-29,"COMPLETA","MADRID",16000,16000,"ADMINISTRATIVOS"
"1067","CONSTRUCCIÓN","MADRID","Diplomado o Ingeniero Técnico",2018-10-29,"COMPLETA","MADRID",24000,18000,"TECNICOS EN CONSTRUCCION"
"1068","CONSTRUCCIÓN","CASTILLA LA MANCHA","Unknown",2018-10-29,"COMPLETA","GUADALAJARA",18000,15000,"PEONES"
"1069","FÁBRICAS/INDUSTRIA","COMUNIDAD VALENCIANA","Bachillerato",2018-10-29,"COMPLETA","VALENCIA",1500,750,"MADERA Y MUEBLE/EBANISTERÍA"
"1070","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","ANDALUCÍA","Unknown",2018-10-29,"COMPLETA","JAÉN",2400,2000,"ACUICULTURA"
"1072","METAL/MECÁNICA","MADRID","Unknown",2018-10-29,"COMPLETA","MADRID",14400,10800,"SOLDADURA/CALDERERÍA/CHAPA"
"1076","PELUQUERÍA/ESTÉTICA","MADRID","FP II, Ciclo de Grado Superior",2018-10-28,"PARCIAL","MADRID",594,594,"PELUQUERÍA"
"1080","PELUQUERÍA/ESTÉTICA","MADRID","Unknown",2018-10-23,"INDIFERENTE","MADRID",900,800,"PELUQUERÍA"
"1122","DEPENDIENTES/INFORMACIÓN","CATALUÑA","FP I, Ciclo de Grado Medio",2018-10-28,"COMPLETA","BARCELONA",1458,1458,"INFORMACIÓN/AZAFATAS/PROMOCIÓN COMERCIAL"
"1126","CONSTRUCCIÓN","CATALUÑA","Unknown",2018-10-28,"COMPLETA","BARCELONA",1500,1300,"CARPINTERÍA"
"3099","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","ANDALUCÍA","Unknown",2018-10-26,"PARCIAL","GRANADA",700,600,"CARNICERÍA/CHARCUTERIA"
"3147","INGENIERÍA/CALIDAD/CIENCIAS","MADRID","Licenciado o Ingeniero Superior",2018-10-26,"COMPLETA","MADRID",32000,25000,"INGENIERÍAS"
"3148","CONSTRUCCIÓN","CASTILLA LA MANCHA","Sin estudios",2018-10-26,"COMPLETA","CUENCA",1500,0,"FONTANERÍA"
"3161","ADMINISTRACIÓN","CATALUÑA","Bachillerato",2018-10-26,"COMPLETA","BARCELONA",16500,16400,"ADMINISTRATIVOS"
"3199","SALUD/DEPORTE","ANDALUCÍA","Estudios primarios",2018-10-28,"PARCIAL","MÁLAGA",280,280,"FISIOTERAPIA/DEPORTE/MANTENIMIENTO FISIC"
"3214","COMERCIAL/VENTAS","CATALUÑA","Licenciado o Ingeniero Superior",2018-10-28,"COMPLETA","BARCELONA",1500,1500,"AGENTES COMERCIALES/REPRESENTANTES"
"3262","APRENDICES/PRIMER EMPLEO","COMUNIDAD VALENCIANA","Unknown",2018-10-26,"PARCIAL","VALENCIA",600,550,"PRIMER EMPLEO"
"3295","APRENDICES/PRIMER EMPLEO","MADRID","FP I, Ciclo de Grado Medio",2018-10-26,"COMPLETA","MADRID",900,700,"APRENDICES"
"3296","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","GALICIA","FP II, Ciclo de Grado Superior",2018-10-26,"COMPLETA","PONTEVEDRA",1500,700,"ELECTRICIDAD"
"3351","INFORMÁTICA/TELECOMUNICACIONES","ANDALUCÍA","Bachillerato",2018-10-28,"COMPLETA","MÁLAGA",1314,1314,"SISTEMAS/SEGURIDAD/REDES"
"3531","METAL/MECÁNICA","CATALUÑA","FP I, Ciclo de Grado Medio",2018-08-30,"COMPLETA","BARCELONA",1000,1000,"MECÁNICA/MANTENIMIENTO"
"3532","METAL/MECÁNICA","CATALUÑA","FP I, Ciclo de Grado Medio",2018-08-30,"COMPLETA","LLEIDA",1100,1000,"MECÁNICA/MANTENIMIENTO"
"3816","CONSTRUCCIÓN","CASTILLA Y LEÓN","ESO, EGB, Graduado Escolar",2018-10-26,"COMPLETA","LEÓN",1300,1100,"ALBAÑILERIA/ACABADOS"
"3867","INGENIERÍA/CALIDAD/CIENCIAS","GALICIA","Unknown",2018-10-26,"COMPLETA","PONTEVEDRA",1200,900,"INGENIERÍAS"
"3942","CONSTRUCCIÓN","COMUNIDAD VALENCIANA","Unknown",2018-10-25,"COMPLETA","ALICANTE",1500,1200,"GRÚAS/EXCAVADORAS/MAQUINARIA"
"4092","DEPENDIENTES/INFORMACIÓN","ARAGÓN","ESO, EGB, Graduado Escolar",2018-09-27,"PARCIAL","ZARAGOZA",9000,8500,"DEPENDIENTES"
"4109","CONSTRUCCIÓN","COMUNIDAD VALENCIANA","Otras Formaciones",2018-10-24,"COMPLETA","ALICANTE",1100,1100,"FONTANERÍA"
"4169","APRENDICES/PRIMER EMPLEO","COMUNIDAD VALENCIANA","FP II, Ciclo de Grado Superior",2018-10-26,"PARCIAL","VALENCIA",650,550,"PRIMER EMPLEO"
"4207","EDUCACIÓN/SERVICIOS SOCIALES","ILLES BALEARS","ESO, EGB, Graduado Escolar",2018-10-26,"COMPLETA","BALEARS (ILLES)",1400,1200,"OTRAS ACTIVIDADES"
"4208","INGENIERÍA/CALIDAD/CIENCIAS","MADRID","Bachillerato",2018-10-26,"PARCIAL","MADRID",20000,16000,"OTRAS ACTIVIDADES TÉCNICAS"
"4219","SALUD/DEPORTE","ANDALUCÍA","Unknown",2018-10-28,"COMPLETA","CÁDIZ",2191,2191,"ENFERMERÍA"
"4248","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","MADRID","Unknown",2018-10-28,"COMPLETA","MADRID",1301,1300,"ELECTRICIDAD"
"4252","APRENDICES/PRIMER EMPLEO","MADRID","ESO, EGB, Graduado Escolar",2018-10-26,"PARCIAL","MADRID",650,550,"PRIMER EMPLEO"
"4253","INGENIERÍA/CALIDAD/CIENCIAS","GALICIA","FP I, Ciclo de Grado Medio",2018-10-26,"COMPLETA","PONTEVEDRA",1200,900,"MEDIO AMBIENTE/QUÍMICA/BIOLOGÍA/LABORATO"
